CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-02 00:00,403,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-03 00:00,446,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-04 00:00,557,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-05 00:00,436,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-06 00:00,439,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-07 00:00,413,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-08 00:00,675,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-09 00:00,518,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-10 00:00,843,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-11 00:00,874,4,EST. OTROS METODOS,1200
